transaction_id,account_id,transaction_date,transaction_time,amount,currency,merchant_name,merchant_category_code,transaction_description,category,subcategory,transaction_type,is_recurring,recurring_frequency,balance_after_transaction,location_city,location_state,location_country
TXN000414,ACC10077,14/12/2023,7:29:44,-65.25,USD,Blue Cross Health,6300,Blue Cross Health - Insurance premium,Insurance,Health Insurance,payment,TRUE,monthly,2357.44,Houston,TX,USA
TXN000415,ACC10211,14/12/2023,18:33:21,-195,USD,United Airlines,4511,United Airlines - flight booking,Travel,Airfare,debit,FALSE,,1312.04,New York,NY,USA
TXN000416,ACC10026,15/12/2023,16:10:13,-1,USD,,0,Test transaction,Other,,withdrawal,FALSE,,523.2,,,USA
TXN000417,ACC10234,15/12/2023,12:18:29,23.55,USD,,6010,Refund processed,Refund,Returned Goods,credit,FALSE,,3224.71,,,USA
TXN000418,ACC10112,16/12/2023,20:44:52,-71.44,USD,Shell,5541,Shell - Gas purchase,Transportation,Fuel,payment,FALSE,,1812.11,Oakland,CA,USA
TXN000419,ACC10105,17/12/2023,17:27:10,-137.89,USD,IKEA,5712,IKEA - Furniture purchase,Home,Furniture,debit,FALSE,,2211.17,Los Angeles,CA,USA
TXN000420,ACC10022,18/12/2023,19:01:33,-88.65,USD,AMC Theatres,7832,AMC Theatres - Movie tickets,Entertainment,Movies,payment,FALSE,,2914.27,Dallas,TX,USA
TXN000421,ACC10012,19/12/2023,12:57:23,-45.99,USD,Taco Bell,5812,Taco Bell - Fast food,Food & Drink,Fast Food,debit,FALSE,,968.51,Houston,TX,USA
TXN000422,ACC10034,19/12/2023,18:51:15,-83.22,USD,Lyft,4121,Lyft ride - airport,Transportation,Ride Sharing,debit,FALSE,,1762.9,Seattle,WA,USA
TXN000423,ACC10055,19/12/2023,,-1.59,USD,,0,Account inactivity fee,Fees,Account Maintenance,debit,FALSE,,1341.99,,,USA
TXN000424,ACC10111,20/12/2023,9:40:12,2500,USD,SunTrust Payroll,0,Direct deposit payroll,Salary,,deposit,TRUE,monthly,3877.11,,,USA
TXN000425,ACC10102,21/12/2023,8:15:22,-78.5,USD,Farmers Insurance,6399,Farmers Insurance - policy premium,Insurance,Auto Insurance,payment,TRUE,monthly,1098.01,Oakland,CA,USA
TXN000426,ACC10113,21/12/2023,14:12:01,125,USD,Amazon Refund,5999,Amazon - refund processed,Refund,Returned Goods,credit,FALSE,,1336.98,,,USA
TXN000427,ACC10021,22/12/2023,10:39:00,-89.7,USD,Trader Joe's,5411,Trader Joe's - grocery shopping,Groceries,Specialty Grocery,debit,FALSE,,2097.89,Austin,TX,USA
TXN000428,ACC10203,22/12/2023,20:22:19,-155.99,USD,Best Buy,5732,Best Buy - Electronics purchase,Home,Electronics,debit,FALSE,,1721.31,Dallas,TX,USA
TXN000429,ACC10113,23/12/2023,16:52:34,-115.93,USD,Netflix,4899,Netflix - subscription payment,Entertainment,Subscriptions,payment,TRUE,monthly,1221.05,,,USA
TXN000430,ACC10033,24/12/2023,7:31:10,0.01,USD,,0,Test micro deposit,Other,,deposit,FALSE,,1120.91,,,USA
TXN000431,ACC10045,24/12/2023,11:13:57,-63.19,USD,Safeway,5411,Safeway - grocery shopping,Groceries,Supermarkets,debit,FALSE,,1145.82,San Jose,CA,USA
TXN000432,ACC10099,25/12/2023,11:29:59,925.15,EUR,AlpenResort,7011,AlpenResort - Hotel refund,Refund,Hotel,credit,FALSE,,1455.8,Zermatt,,CHE
TXN000433,ACC10054,25/12/2023,14:23:05,-11000,CHF,Luxury Autos,5511,Luxury Autos - Vehicle purchase,Transportation,Car Purchase,debit,FALSE,,9021.93,Zurich,,CHE
TXN000434,ACC10108,26/12/2023,9:53:08,-107.89,USD,PG&E,4911,PG&E Utility Bill Payment,Utilities,Electricity,payment,TRUE,monthly,1349.12,San Francisco,CA,USA
TXN000435,ACC10021,26/12/2023,,-0.01,USD,,0,Internal test charge,Other,,debit,FALSE,,2097.88,,,USA
TXN000436,ACC10234,28/12/2023,18:02:19,-112,USD,Uber,4121,Uber ride to airport,Transportation,Ride Sharing,payment,FALSE,,3112.71,New York,NY,USA
TXN000437,ACC10015,28/12/2023,22:12:14,-60.12,USD,Blue Cross Health,6300,Blue Cross Health - Insurance premium,Insurance,Health Insurance,payment,TRUE,monthly,1362.82,Phoenix,AZ,USA
TXN000438,ACC10044,29/12/2023,12:13:19,2000,USD,Sutter Payroll,0,Direct deposit - payroll,Salary,,credit,TRUE,monthly,2986.25,,,USA
TXN000439,ACC10022,29/12/2023,20:45:56,-135,USD,PG&E,4911,PG&E Utility Bill Payment,Utilities,Electricity,payment,TRUE,monthly,2779.27,San Francisco,CA,USA
TXN000440,ACC10108,30/12/2023,9:04:29,-88.45,USD,Shell,5541,Shell - Gas purchase,Transportation,Fuel,debit,FALSE,,1260.67,Oakland,CA,USA
TXN000441,ACC10015,30/12/2023,14:44:01,-200,USD,Uber,4121,Uber - ride for 4,Transportation,Ride Sharing,debit,FALSE,,1162.82,Chicago,IL,USA
TXN000442,ACC10212,31/12/2023,16:22:22,-57.77,USD,Starbucks,5814,Starbucks - drinks,Food & Drink,Coffee Shops,debit,FALSE,,1056.51,Seattle,WA,USA
TXN000443,ACC10099,31/12/2023,21:11:21,-148.2,EUR,Carrefour,5411,Carrefour - groceries,Groceries,Supermarkets,debit,FALSE,,1307.6,Paris,,FRA
TXN000444,ACC10110,01/01/2024,10:35:12,-377.99,USD,Sunset Villas,6513,Sunset Villas - Rent payment,Rent,Apartment,payment,TRUE,monthly,1402.01,Austin,TX,USA
TXN000445,ACC10102,01/01/2024,17:57:36,-243.21,USD,PG&E,4911,PG&E Utility Bill Payment,Utilities,Electricity,payment,TRUE,monthly,854.8,San Francisco,CA,USA
TXN000446,ACC10054,02/01/2024,11:44:38,1000000,CHF,Lotto Corp,7996,Lotto Corp - lottery payout,Income,Lottery,deposit,FALSE,,1009021.93,Zurich,,CHE
TXN000447,ACC10026,02/01/2024,17:18:48,87.56,USD,PayPal,4829,PayPal - refund processed,Refund,Online Payment,credit,FALSE,,610.76,,,USA
TXN000448,ACC10087,03/01/2024,15:32:07,-67.11,USD,Blue Cross Health,6300,Blue Cross Health - Insurance premium,Insurance,Health Insurance,payment,TRUE,monthly,717.61,Seattle,WA,USA
TXN000449,ACC10045,03/01/2024,8:08:41,-178.23,USD,Uber,4121,Uber trip downtown,Transportation,Ride Sharing,debit,FALSE,,967.59,New York,NY,USA
TXN000450,ACC10021,04/01/2024,12:58:15,-15,USD,Bank of America,6011,Account maintenance fee,Fees,Account Maintenance,debit,FALSE,,2082.88,,,USA
